topico,conteudo,fonte
Câmera Desligada pelo Antivírus Kaspersky,"O Kaspersky Total Security tem um 'Bloqueio de Câmera' forte. Se os programas dizem 'câmera em uso', o antivírus intercedeu. Acesse o painel 'Proteção de Privacidade' do aplicativo de segurança e permita o acesso da câmera.",Cartilha de Segurança CERT.br
Teclado Americano Sem Cedilha e Acentos,"Teclados sem 'Ç' (layout US) precisam ser configurados no Windows como 'Estados Unidos - Internacional'. Para gerar a cedilha, aperta-se o acento agudo (') seguido do (C). Para acentos, aperta-se o acento seguido da vogal.",Microsoft Learn (Docs)
Erro BITS Service (Serviço de Transferência),"O serviço de transferência BITS garante o download de atualizações do Windows Update. Se estiver travado, o Windows Update e a Loja não funcionarão. Use a ferramenta de reparo nativa do Windows no Painel de Controle.",Microsoft Learn (Docs)
Arquivo PDF Fica Preto no Navegador Edge,"Isso ocorre devido a falhas na aceleração de hardware nas versões baseadas em Chromium. No navegador, vá em Configurações > Sistema > desative a 'Aceleração de hardware quando disponível' e reinicie o browser.",Microsoft Learn (Docs)
Recuperar Arquivo Substituído Sem Querer,"Se um arquivo foi sobrescrito na rede ou PC local, clique com o botão direito no arquivo > Propriedades > 'Versões Anteriores'. O recurso VSS do Windows permite restaurar arquivos para o estado do dia anterior.",Microsoft Learn (Docs)
Compartilhamento de Impressora USB Erro 0x0000011b,"Essa falha foi introduzida no Windows Update em combate ao PrintNightmare. Para voltar a compartilhar uma impressora USB pela rede, é necessário adicionar a chave DWORD 'RpcAuthnLevelPrivacyEnabled=0' no registro do host da impressora.",Microsoft Learn (Docs)
Fio Solto na Ventoinha do Gabinete,Cabos roçando na ventoinha fazem barulho de catraca ou estalo contínuo. Abra o computador com ele desligado e afaste os cabos SATA ou de energia que estejam muito próximos das pás utilizando abraçadeiras de nylon (zip ties).,Fórum Tom's Hardware e Guia do Hardware
O Computador Bloqueia Após 1 Minuto Sem Uso,"Se as Opções de Energia estão configuradas para longo tempo, mas a tela desliga rápido, o bloqueio dinâmico do Windows (junto com celular Bluetooth emparelhado) ou configurações da tela de descanso devem ser desativadas no painel.",Microsoft Learn (Docs)
Impressora Não Detecta Papel na Gaveta,O sensor óptico ou mecânico da bandeja não identifica o papel devido ao desalinhamento das guias laterais de plástico. Aperte suavemente as guias de largura contra a resma de sulfite para que os sensores engatem perfeitamente.,"Portal de Suporte HP, Epson e Brother"
Atualização Pende Reinicialização Sem Parar,"Se após reiniciar, o Windows pede para reiniciar novamente pelas mesmas atualizações, o pacote Pending.xml no sistema corrompeu. No prompt de comando de segurança, limpe os pacotes pendentes com as ferramentas de imagem do DISM.",Microsoft Learn (Docs)
O Arquivo Supera 4GB e Não Vai Para o Pen Drive,"Pen drives formatados de fábrica usam o sistema FAT32, que impede arquivos maiores que 4 Gigabytes (como vídeos em 4K). Para resolver, clique com botão direito, escolha 'Formatar' e altere de FAT32 para o formato 'exFAT' ou 'NTFS'.",Comunidade Super User e Fóruns de TI
Fones P2 com Som Estourado na Placa Mãe,Fones diretamente na placa traseira (entrada verde) sofrendo estalos possuem interferência elétrica ou impedância não casada. Usar um adaptador externo USB para P2 custa barato e purifica o sinal fora das correntes pesadas da placa-mãe.,Fórum Tom's Hardware e Guia do Hardware
Restauração Pede Mídia de Instalação no Windows,"Se a restauração embutida diz 'Não foi possível encontrar o ambiente de recuperação', significa que a partição oculta de recuperação WinRE foi apagada. Você deve gerar um pen drive pelo 'Media Creation Tool' e restaurar a partir dele.",Microsoft Learn (Docs)
Tela Escura na Projeção de Vídeos em Streaming,"Ferramentas DRM (proteção de tela) bloqueiam a captura (como Discord, OBS) de apps como Netflix. Para poder exibir as imagens remotamente sem tela preta (apenas áudio), o recurso de aceleração de vídeo do navegador precisa ser desligado.",Comunidade de Ajuda do Google
Windows Reconhece SSD como HDD e Fica Lento,"Se a desfragmentação nativa tenta agir sobre um SSD, o Windows o reconheceu erroneamente como HD mecânico por erro de chipset. Executar 'winsat diskformal' força o sistema a medir a velocidade e categorizar a unidade corretamente como Estado Sólido.",Microsoft Learn (Docs)
Desempenho Fraco ao Usar Múltiplos Antivírus,Usuários que instalam Avast junto ao Windows Defender (ou similares) sofrem bloqueio das chamadas de disco (Deadlock). Remover softwares de antivírus terceiros completamente mantendo apenas a proteção nativa do Windows estabiliza 90% das falhas.,Microsoft Learn (Docs)
Falha de Boot via Modo Segurança,"Se o PC ligou forçado em modo de segurança (msconfig) e não sai de lá após boot, o sistema ficará travado em resoluções baixas. Use 'Win+R', abra 'msconfig', e na aba 'Inicialização do Sistema' desmarque 'Inicialização Segura'.",Comunidade Super User e Fóruns de TI
Mouse Óptico Piscando mas Setinha Não Move,O LED do mouse não interage corretamente com mesas de vidro ou materiais reflexivos e transparentes. Teste sempre usar o dispositivo sobre uma folha de papel fosca ou mousepad escuro para garantir rastreio absoluto do sensor de imagens.,"Portal de Suporte HP, Epson e Brother"
Sincronização de Relógio de Banco de Dados Desfasado,Sistemas que usam tokens ou log em banco de dados podem recursar a entrar se a máquina do usuário estiver 5 minutos atrasada/adiantada em relação ao servidor AD. Manter relógios pontualmente conectados em um servidor NTP interno é crítico.,Comunidade Super User e Fóruns de TI
Falha do Serviço de Criptografia do Windows Update,"Se o serviço de Criptografia corromper, o Windows não validará as assinaturas dos pacotes .cab e o Windows Update vai falhar eternamente. Apagar a pasta %windir%\System32\catroot2 e reiniciar a máquina forçará a recriação correta dos hashes de verificação.",Microsoft Learn (Docs)
Fones de Ouvido Aparecendo como Desconectados,"Ícones cinzas de dispositivos desconectados são registros ocultos antigos. Exiba dispositivos ocultos pelo 'Gerenciador de Dispositivos', encontre o fone Bluetooth 'fantasma', desinstale, e religue o pareamento oficial novamente no painel de configurações limpo.",Comunidade Super User e Fóruns de TI
Atualizar BIOS Para Receber Processador Novo,"CPUs de gerações posteriores no mesmo soquete (ex: AMD AM4) precisam de uma BIOS com Agesa atualizado para bootar. Atualize a BIOS instalando a CPU antiga primeiro, caso a placa não suporte o modo Q-Flash sem CPU montada no soquete.",Fórum Tom's Hardware e Guia do Hardware
Luz de Disco HD Vermelha e PC Congela Segundos,Micro-congelamentos rápidos que destravam indicam instabilidade no cabo de comunicação SATA. Substituir o cabo e plugar o HD/SSD em outra entrada da placa-mãe anula a instabilidade sem perda de informações reais ou corrupção total do volume.,Fórum Tom's Hardware e Guia do Hardware
O Microfone de Headset USB Muito Baixo,"Headsets digitais por USB que captam pouco som estão com o volume de comunicação das propriedades reduzidos pelo pacote de controle. Usar aplicativos nativos de ganho de som, como o Equalizer APO, permite aumentar drasticamente as faixas do volume via hardware virtual.",Fórum Tom's Hardware e Guia do Hardware
O Monitor Continua Ligado se Apagar a Máquina,"Cabo DisplayPort que devolve energia aos circuitos do PC gera a ilusão da máquina acessa. Essa alimentação reversa vem de cabos baratos fora do padrão VESA, necessitando cabo oficial isolando o pino 20 (energia), cortando o retorno indesejado à placa.",Comunidade Super User e Fóruns de TI
Arquivos de Lixeira Corporativa Servidor Não Restauram,"Por design, partições em servidores (unidades de rede mapeadas) não possuem 'Lixeira'. Uma vez apagados por engano pelo usuário, a recuperação baseia-se puramente nas Shadow Copies geradas pelo Windows Server de hora em hora.",Microsoft Learn (Docs)
Rede Apresenta Configuração Proxy Circular e Cai,"Navegadores de empresa perdem rede mas dão ping pois os pacotes batem em configurações de script de configuração proxy (PAC). Garantir nas propriedades de opções da internet que a configuração automática aponte pro proxy real, ou está limpo se uso remoto (VPN off).",Documentação Cisco e Clube do Hardware
Travamento Completo Sem BSOD no Windows 11,"Gelo total na tela (Hard Freeze) no meio de aplicativos requer apertar o botão reiniciar físico, indicando perda de voltagem por parte da fonte (PSU) ou CPU atingindo instabilidades na gestão de economia de energia (C-States na BIOS desativados resolvem).",Microsoft Learn (Docs)
O Pendrive é Detectado mas não Permite Abertura no PC,"Unidades detectadas mas com erro 'insira disco na unidade E:' indicam defeito completo e irrecuperável nos chips do controlador flash localizados fisicamente no dispositivo, impossibilitando até comandos de terminal para resgaste de tabela MFT ou reconstruções.",Comunidade Super User e Fóruns de TI
Erro Faltando VCRUNTIME140_1.dll ao Instalar e Iniciar Sistema,A evolução natural dos pacotes redistributivos Visual Studio faz versões x86 exigirem DLLs exclusivas. Mesmo um sistema x64 exige que instale as versões complementares do x86 para rodar softwares gerados em versões passadas ou sem arquitetura nativa plena.,Comunidade Super User e Fóruns de TI
Impressora Puxa Folha e Para no Meio,"Atolamento sem obstrução é devido a sensores de presença sujos de pó de toner. Com ar comprimido e tecido seco, limpe a esteira transparente atrás do rolo, permitindo aos LEDs verem adequadamente o progresso vertical e liberação de fase da gaveta.","Portal de Suporte HP, Epson e Brother"
A Senha do Bitlocker Não Aceita Teclado e Fica Presa,"Se o teclado é reconhecido mas parece que está com caracteres errados, o layout fora do sistema operacional na tela azul obedece padrão americano puro. Atenção à ausência física de cedilha e símbolos que mudam em layouts ABNT ao preencher senhas ou prompts longos.",Microsoft Learn (Docs)
Erro do Sistema Ocorre Ocasionalmente Depois de Dormir,"Computadores hibernando que geram lentidão severa até reinício estão engasgando pelo modo Erp ou Sleep Modes lentos dos drivers intel Optane/RST. Desabilitar opções de suspensão híbrida nos esquemas de planos de energia avança ao desligamento completo e puro, sanando o problema.",Comunidade Super User e Fóruns de TI
Arquivo Não Copiado Causa Parada de Progresso do Copiar/Mover,Operações que copiam milhares de itens em pen drive travando no 99% sem aviso indicam corrupção no formato. Formatando para um sistema mais responsivo (NTFS ao invés de FAT32) a transferência finalizará blocos rapidamente devido a otimização diária da cache de leitura write e read speed.,Comunidade Super User e Fóruns de TI
Erro Outlook 0x800CCC0F Timeout Server,"Um limite de erro 0x800CCC0F significa o encerramento do processo pelos servidores SMTP por tempo limite excedido na rede. Expandir a duração da expiração de servidor nos arquivos de dados para mais de 5 minutos permite enviar arquivos grandes anexados, corrigindo falhas de quebra de rotas lógicas.",Microsoft Learn (Docs)
Windows Trava Na Tela 'Bem-Vindo' Roda Carregamento Sem Fim,"Carregamentos estagnados na autenticação pedem reparação dos perfis de registro das contas de serviço no log de login de rede. Em modo administrador, remova via msconfig a ativação automática de programas externos de rede corporativa para garantir o fluxo de inicialização original intacta.",Microsoft Learn (Docs)
Acesso Remoto VPN Fecha Arquivo Usado na Rede,Arquivos que desfazem e interrompem sessões mostram falha temporária no handshake TSL com firewall remoto. Habilitar keep-alive pings para roteamento constante evita os micro cortamentos responsáveis pela degradação que força a interrupção local e fechamento compulsório de pacotes SMB compartilhados na VPN corporativa da matriz.,Documentação Cisco e Clube do Hardware
Celulares Apresentando Tela Ghosting Constante Sombreamento,"Manchas estáticas de fundo em smartphones ou monitores após manter conteúdo parado no LCD/OLED apontam 'Burn-In' se permanentes. Exibir padrões RGB acelerados e brilhantes resolve instabilidades base e retenção na tela causadas na voltagem local, sendo imperativo desligar a tela se estiver ausente mais de 3 minutos localmente e por padrão nos modos energia operantes para controle total ou manutenção oficial hardware e painel troca completa suporte.",Fórum Tom's Hardware e Guia do Hardware
